Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français
75,KEDGE Business School,KEDGE BS,privé,Nouvelle-Aquitaine,33,https://fr.wikipedia.org/wiki/Kedge_Business_School
0,Université de la Polynésie Française,,public,Collectivités d'outre-mer,98,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_la_Polyn%C3%A9sie_fran%C3%A7aise
76,Université de Toulouse,,public,Occitanie,31,
11,Université Paris Nanterre,Paris Nanterre,public,Île-de-France,92,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Nanterre
53,Université Rennes 2,Rennes II,public,Bretagne,35,https://fr.wikipedia.org/wiki/Universit%C3%A9_Rennes-II
84,Université Savoie Mont Blanc,,public,Auvergne-Rhône-Alpes,73,https://fr.wikipedia.org/wiki/Universit%C3%A9_Savoie-Mont-Blanc
93,Centrale Méditerranée,,public,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Centrale_M%C3%A9diterran%C3%A9e
24,École française de Rome,EFR,public,Étranger,18,https://fr.wikipedia.org/wiki/%C3%89cole_fran%C3%A7aise_de_Rome
75,École nationale supérieure de mécanique et d'aérotechnique de Poitiers,,public,Nouvelle-Aquitaine,86,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_de_m%C3%A9canique_et_d%27a%C3%A9rotechnique
84,École normale supérieure de Lyon,ENS de Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_normale_sup%C3%A9rieure_de_Lyon
11,École supérieure des techniques aéronautiques et de construction automobile,ESTACA,privé,Île-de-France,78,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_des_techniques_a%C3%A9ronautiques_et_de_construction_automobile
11,École supérieure d'ingénieurs des travaux de la construction de Paris,ESITC Paris,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_sup%C3%A9rieure_d%27ing%C3%A9nieurs_des_travaux_de_la_construction_de_Paris
93,Institut supérieur du bâtiment et des travaux publics,ISBA TP,privé,Provence-Alpes-Côte d'Azur,13,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_du_b%C3%A2timent_et_des_travaux_publics
76,Université de Perpignan Via Domitia,,public,Occitanie,66,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Perpignan
11,École nationale des sciences géographiques,ENSG-Géomatique,public,Île-de-France,77,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_des_sciences_g%C3%A9ographiques
11,Ecole Nationale Supérieure des Beaux-Arts de Paris,Beaux-Arts de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Beaux-Arts_de_Paris
28,École nationale supérieure maritime,,public,Normandie,76,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_sup%C3%A9rieure_maritime
11,ESIEE Paris,,privé,Île-de-France,93,
84,Institut catholique de Lyon,UCLY,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/Universit%C3%A9_catholique_de_Lyon
