Numéro Région,libellé,nom court,secteur d'établissement,Région,Departement2,Page Wikipédia en français,géolocalisation,latitude_ecole,longitude_ecole
28,Université de Rouen Normandie,,public,Normandie,76,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Rouen-Normandie,"49.4583, 1.06895",49.4583,1.06895
76,Université Toulouse Capitole,UT Capitole,public,Occitanie,31,,"43.606087, 1.438184",43.606087,1.438184
76,Université de technologie Tarbes Occitanie Pyrénées,,public,Occitanie,65,,"43.225181, 0.05325",43.225181,0.05325
11,École spéciale de mécanique et d'électricité,ESME Sudria,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/%C3%89cole_sp%C3%A9ciale_de_m%C3%A9canique_et_d%27%C3%A9lectricit%C3%A9,"48.81413, 2.392969",48.81413,2.392969
52,Institut catholique de Vendée,ICES,privé,Pays de la Loire,85,https://fr.wikipedia.org/wiki/Institut_catholique_de_Vend%C3%A9e,"46.67251, -1.41955",46.67251,-1.41955
76,Institut national des sciences appliquées de Toulouse,INSA de Toulouse,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_de_Toulouse,"43.56960616644996, 1.4677691459655764",43.56960616644996,1.4677691459655764
75,La Rochelle Université,Université La Rochelle,public,Nouvelle-Aquitaine,17,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_La_Rochelle,"46.14774, -1.15504",46.14774,-1.15504
44,Université de Lorraine,,public,Grand Est,54,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Lorraine,"48.69614438320864, 6.176607012748719",48.69614438320864,6.176607012748719
11,Université Sorbonne Paris Nord,,public,Île-de-France,93,https://fr.wikipedia.org/wiki/Universit%C3%A9_Sorbonne-Paris-Nord,"48.95793, 2.34071",48.95793,2.34071
76,Université Toulouse - Jean Jaurès,,public,Occitanie,31,https://fr.wikipedia.org/wiki/Universit%C3%A9_Toulouse-Jean-Jaur%C3%A8s,"43.57954, 1.40235",43.57954,1.40235
32,Université de Lille,,public,Hauts-de-France,59,,"50.631794, 3.07526",50.631794,3.07526
84,Centrale Lyon,EC Lyon,public,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_de_Lyon,"45.78299, 4.76927",45.78299,4.76927
11,École centrale d'électronique,ECE,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/%C3%89cole_centrale_d%27%C3%A9lectronique,"48.85152, 2.28683",48.85152,2.28683
11,École supérieure des sciences économiques et commerciales,,privé,Île-de-France,95,https://fr.wikipedia.org/wiki/ESSEC_Business_School,"49.03397, 2.078427",49.03397,2.078427
11,Sciences Po,IEP de Paris,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_d%27%C3%A9tudes_politiques_de_Paris,"48.85412, 2.32842",48.85412,2.32842
28,Neoma Business School,Neoma BS,privé,Normandie,76,https://fr.wikipedia.org/wiki/Neoma_Business_School,"49.4631, 1.063824",49.4631,1.063824
27,Université Bourgogne Europe,,public,Bourgogne-Franche-Comté,21,,"47.31326427033337, 5.068940520286561",47.31326427033337,5.068940520286561
76,Université de Montpellier Paul-Valéry,,public,Occitanie,34,,"43.6324177950831, 3.870170116424561",43.6324177950831,3.870170116424561
11,Université Paris-Saclay,,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Universit%C3%A9_Paris-Saclay,"48.709629, 2.170077",48.709629,2.170077
11,"Institut Mines-Télécom, au périmètre des écoles IMT Atlantique, Lille Douai, Albi, Alès, Mines Saint-Étienne et Institut Mines-Télécom Business school",,public,Île-de-France,91,https://fr.wikipedia.org/wiki/Institut_Mines-T%C3%A9l%C3%A9com,"48.7132, 2.19972",48.7132,2.19972
11,ECAM-EPMI,ECAM-EPMI,privé,Île-de-France,95,https://fr.wikipedia.org/wiki/ECAM-EPMI,"49.031763, 2.074459",49.031763,2.074459
44,École nationale du génie de l'eau et de l'environnement de Strasbourg,,public,Grand Est,67,https://fr.wikipedia.org/wiki/%C3%89cole_nationale_du_g%C3%A9nie_de_l%27eau_et_de_l%27environnement_de_Strasbourg,"48.580797, 7.758744",48.580797,7.758744
11,École nationale supérieure des métiers de l'image et du son,La Fémis,public,Île-de-France,75,https://fr.wikipedia.org/wiki/La_F%C3%A9mis,"48.89055, 2.34257",48.89055,2.34257
11,EPF - École d'ingénieurs,EPF,privé,Île-de-France,94,https://fr.wikipedia.org/wiki/EPF_(%C3%A9cole_d%27ing%C3%A9nieurs),"48.79218, 2.329213",48.79218,2.329213
24,Institut national des sciences appliquées Centre Val de Loire,INSA Centre Val de Loire,public,Centre-Val de Loire,18,https://fr.wikipedia.org/wiki/Institut_national_des_sciences_appliqu%C3%A9es_Centre-Val_de_Loire,"47.0821667774133, 2.416074872016907",47.0821667774133,2.416074872016907
11,Institut national du patrimoine,,public,Île-de-France,75,https://fr.wikipedia.org/wiki/Institut_national_du_patrimoine_(France),"48.86661, 2.33907",48.86661,2.33907
76,Institut supérieur de l'aéronautique et de l'espace,ISAE-SUPAERO,public,Occitanie,31,https://fr.wikipedia.org/wiki/Institut_sup%C3%A9rieur_de_l%27a%C3%A9ronautique_et_de_l%27espace,"43.5656, 1.47408",43.5656,1.47408
44,Université de Strasbourg,,public,Grand Est,67,https://fr.wikipedia.org/wiki/Universit%C3%A9_de_Strasbourg,"48.57872, 7.76465",48.57872,7.76465
32,Université Polytechnique Hauts-de-France,,public,Hauts-de-France,59,https://fr.wikipedia.org/wiki/Universit%C3%A9_polytechnique_Hauts-de-France,"50.32622, 3.51056",50.32622,3.51056
84,École catholique des arts et métiers,ECAM Lasalle,privé,Auvergne-Rhône-Alpes,69,https://fr.wikipedia.org/wiki/ECAM_LaSalle,"45.76391, 4.82518",45.76391,4.82518
11,École de management Léonard De Vinci,EMLV,privé,Île-de-France,92,,"48.8962, 2.2359",48.8962,2.2359
27,Burgundy School of Business,,privé,Bourgogne-Franche-Comté,21,https://fr.wikipedia.org/wiki/Burgundy_School_of_Business,"47.32806, 5.04142",47.32806,5.04142
11,ESCP Business School,,privé,Île-de-France,75,https://fr.wikipedia.org/wiki/ESCP_Business_School,"48.842394, 2.317575",48.842394,2.317575
