code_insee,name,tourism,latitude,longitude
69123,Le Grand Moulin,information,45.7415259,4.7371759
69123,Le Grand Moulin,information,45.7418398,4.7367689
69123,Le Moulin du Gôt,information,45.7419362,4.7539685
69123,N/A,information,45.741518,4.7499785
69123,Hôtel Du Simplon,hotel,45.7502346,4.8299835
69123,N/A,information,45.8125428,4.782128
69123,N/A,information,45.8426523,4.8060421
69123,N/A,information,45.8495053,4.80666
69123,N/A,picnic_site,45.6778065,4.8320398
69123,La Lézardière,guest_house,45.8575102,4.7950981
69123,"12 - L'Île-Barbe, son histoire",information,45.7970154,4.831442
69123,13 - La prévôté et le châtelard,information,45.7973646,4.8325328
69123,14 - Notre-Dame de Grâce,information,45.7973575,4.8325476
69123,15 - L'église Saint-Martin et Saint-Loup,information,45.7973681,4.8325503
69123,N/A,information,45.6654839,4.8293816
69123,N/A,picnic_site,45.7863129,4.8130062
69123,Le Sentier de la Pierre,information,45.831864,4.7928026
69123,Maison des mathématiques et de l'informatique,museum,45.7299317,4.8280106
69123,Caborne,attraction,45.8394678,4.8139127
69123,Caborne,attraction,45.8323485,4.812665
69123,N/A,information,45.8129763,4.8662441
69123,N/A,viewpoint,45.8113474,4.9033685
69123,Madone de Couzon,artwork,45.8479584,4.8241089
69123,La Tour Rose,attraction,45.7629626,4.8269316
69123,#onlylyon,attraction,45.7305017,4.8182051
69123,N/A,information,45.7821097,4.8910879
69123,Hôtel ibis Styles Lyon Villeurbanne Parc de la Tête d'Or,hotel,45.7791269,4.8746713
69123,La Carrière des Ponts,information,45.8242124,4.7983066
69123,N/A,information,45.8505608,4.8454128
69123,N/A,viewpoint,45.8574323,4.8511384
69123,N/A,information,45.7308157,4.887388
69123,N/A,information,45.798169,4.8415898
69123,Le Mur à Poupées,artwork,45.7528035,4.838917
69123,Place Bellevue,viewpoint,45.7741734,4.8364931
69123,N/A,picnic_site,45.773009,4.8014812
69123,N/A,picnic_site,45.7731783,4.801506
69123,N/A,picnic_site,45.7734257,4.8011278
69123,N/A,picnic_site,45.7735534,4.8012673
69123,N/A,picnic_site,45.7739575,4.80117
69123,Monopôle,gallery,45.7756475,4.8302002
69123,Okko Hotels Lyon Pont Lafayette,hotel,45.7646311,4.8418582
